                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.3712,                 1.4103,                 1.8224,                0.67218,                0.67588,                0.72403,                0.38704,                 1.5467,                 1.3803,                 2.0311,              0.0051914,              0.0051914,              0.0051914
                     70,                 1.3592,                 1.4108,                 1.8302,                0.68953,                0.65992,                0.71376,                0.38556,                 1.5236,                 1.3872,                 1.9765,              0.0051207,              0.0051207,              0.0051207
                     71,                 1.3476,                 1.3823,                 1.8192,                0.70447,                0.68212,                0.73304,                0.39176,                 1.5191,                 1.3804,                 2.0005,                0.00505,                0.00505,                0.00505
                     72,                 1.3513,                 1.4044,                 1.8157,                0.68105,                0.66179,                0.72393,                0.39675,                 1.5378,                 1.3811,                 1.9868,              0.0049793,              0.0049793,              0.0049793
                     73,                 1.3582,                 1.3712,                 1.7999,                0.69317,                0.67237,                0.73744,                0.39558,                 1.5525,                 1.3675,                 2.0182,              0.0049086,              0.0049086,              0.0049086
                     74,                 1.3505,                 1.3532,                 1.7977,                0.65061,                0.68123,                0.72602,                0.38043,                 1.5548,                 1.3874,                 2.0314,              0.0048379,              0.0048379,              0.0048379
                     75,                 1.3479,                 1.3595,                 1.8076,                0.65396,                0.69709,                0.72875,                0.38895,                 1.5446,                 1.3557,                   1.99,              0.0047671,              0.0047671,              0.0047671
                     76,                  1.358,                 1.3767,                  1.818,                0.70886,                0.64656,                0.72114,                0.39075,                 1.5276,                 1.3704,                 1.9969,              0.0046964,              0.0046964,              0.0046964
                     77,                  1.337,                 1.3483,                 1.7931,                0.65211,                0.70475,                0.73925,                0.39941,                 1.5533,                 1.3451,                 2.0315,              0.0046257,              0.0046257,              0.0046257
                     78,                 1.3331,                 1.3762,                  1.795,                 0.6996,                0.66612,                0.72823,                0.37901,                 1.5532,                 1.3606,                 2.0224,               0.004555,               0.004555,               0.004555
                     79,                 1.3239,                 1.3564,                 1.7931,                0.66438,                0.68337,                0.73043,                0.38631,                 1.5503,                 1.3571,                 2.0044,              0.0044843,              0.0044843,              0.0044843
                     80,                 1.3214,                 1.3352,                 1.7791,                0.70684,                0.68604,                0.73369,                0.38516,                  1.556,                  1.359,                 2.0055,              0.0044136,              0.0044136,              0.0044136
                     81,                 1.3255,                 1.3315,                 1.7862,                0.71676,                0.63795,                0.71059,                0.37795,                 1.5749,                 1.3783,                 2.0124,              0.0043429,              0.0043429,              0.0043429
                     82,                 1.3293,                 1.3149,                 1.7949,                0.68535,                0.68472,                0.74359,                0.39661,                 1.5235,                 1.3208,                 1.9837,              0.0042721,              0.0042721,              0.0042721
                     83,                 1.3174,                 1.3388,                 1.7741,                0.72833,                0.68103,                0.74581,                0.39906,                 1.5377,                 1.3065,                 2.0206,              0.0042014,              0.0042014,              0.0042014
                     84,                 1.2995,                 1.3098,                  1.768,                0.71863,                0.68662,                0.73926,                0.38475,                 1.5646,                 1.3362,                 2.0396,              0.0041307,              0.0041307,              0.0041307
                     85,                 1.3145,                 1.3208,                 1.7697,                0.72448,                0.69017,                 0.7382,                0.39587,                 1.5653,                 1.3286,                 2.0036,                0.00406,                0.00406,                0.00406
                     86,                 1.3137,                 1.2742,                 1.7634,                0.73727,                0.68703,                0.74618,                0.39903,                 1.5638,                 1.3183,                 2.0186,              0.0039893,              0.0039893,              0.0039893
                     87,                 1.3152,                 1.3117,                 1.7745,                0.69586,                0.67881,                0.73236,                0.39469,                 1.5493,                 1.3468,                 2.0055,              0.0039186,              0.0039186,              0.0039186
                     88,                 1.3017,                 1.2824,                 1.7609,                0.71083,                0.67401,                0.74252,                 0.3997,                 1.5473,                 1.3335,                 2.0112,              0.0038479,              0.0038479,              0.0038479
                     89,                 1.2966,                 1.2668,                 1.7513,                0.71442,                0.67287,                0.74353,                0.41123,                 1.5297,                 1.3121,                 1.9743,              0.0037771,              0.0037771,              0.0037771
                     90,                 1.2962,                 1.2689,                 1.7536,                0.68076,                0.68266,                0.72371,                0.39761,                 1.5445,                 1.3416,                 1.9871,              0.0037064,              0.0037064,              0.0037064
                     91,                 1.2765,                 1.2577,                 1.7485,                 0.7435,                0.67394,                0.73727,                0.39579,                 1.5512,                 1.3189,                 1.9963,              0.0036357,              0.0036357,              0.0036357
                     92,                 1.2958,                 1.2709,                 1.7698,                0.73426,                0.67306,                0.74253,                0.39558,                 1.5496,                 1.3151,                 2.0245,               0.003565,               0.003565,               0.003565
                     93,                 1.2938,                 1.2611,                 1.7488,                0.70118,                0.69824,                 0.7339,                 0.3864,                 1.5723,                 1.3255,                 2.0371,              0.0034943,              0.0034943,              0.0034943
                     94,                 1.2932,                 1.2686,                 1.7586,                0.74783,                0.66162,                0.73566,                0.39847,                 1.5388,                 1.3171,                 2.0043,              0.0034236,              0.0034236,              0.0034236
                     95,                 1.2867,                 1.2643,                 1.7543,                0.66047,                0.70103,                0.73971,                0.40471,                 1.5369,                 1.2959,                 1.9889,              0.0033529,              0.0033529,              0.0033529
                     96,                 1.2827,                 1.2655,                 1.7591,                0.69181,                0.66613,                0.73186,                0.39346,                 1.5466,                 1.3138,                 2.0197,              0.0032821,              0.0032821,              0.0032821
                     97,                 1.2637,                 1.2086,                 1.7272,                0.72212,                0.65826,                0.72695,                0.38913,                 1.5621,                 1.3257,                 2.0175,              0.0032114,              0.0032114,              0.0032114
                     98,                 1.2457,                  1.233,                  1.729,                0.72724,                0.67798,                0.74689,                0.41012,                 1.5306,                 1.2653,                  1.998,              0.0031407,              0.0031407,              0.0031407
                     99,                 1.2645,                 1.2527,                 1.7359,                0.71509,                0.69028,                0.74469,                0.39487,                 1.5902,                  1.285,                 2.0641,                0.00307,                0.00307,                0.00307
                    100,                 1.2477,                 1.1965,                 1.7132,                0.67678,                0.71015,                0.73875,                0.40716,                 1.5541,                   1.27,                 2.0251,              0.0029993,              0.0029993,              0.0029993
                    101,                 1.2421,                 1.2224,                 1.7162,                0.70558,                 0.6992,                0.74649,                0.41438,                  1.518,                 1.2692,                 1.9779,              0.0029286,              0.0029286,              0.0029286
                    102,                 1.2596,                 1.2037,                 1.7244,                0.72329,                0.69277,                0.74892,                0.41104,                  1.553,                 1.2574,                 2.0215,              0.0028579,              0.0028579,              0.0028579
